,bedrooms,beds,accommodates,amenities_count,instant_bookable,minimum_nights,number_of_reviews,bathrooms,monthly_revenue,room_type_Entire_home_apt,room_type_Hotel_room,room_type_Private_room,room_type_Shared_room
0,0.0,1.0,1,17,0,6,0,1.0,0,0,0,1,0
1,0.0,1.0,2,2,0,1,0,3.0,0,0,0,1,0
2,1.0,2.0,4,5,1,1,0,1.0,0,0,0,1,0
3,1.0,1.0,2,13,0,30,1,1.0,0,1,0,0,0
8,1.0,1.0,2,62,0,2,105,1.0,0,1,0,0,0
9,2.0,3.0,3,49,0,31,12,1.0,1,1,0,0,0
11,1.0,1.0,2,14,0,1,1,1.0,0,0,0,1,0
12,0.0,1.0,1,8,0,2,0,1.0,0,0,0,1,0
13,0.0,20.0,6,6,0,31,0,2.0,0,0,0,0,1
14,0.0,1.0,1,9,1,1,8,1.0,0,0,0,1,0
15,1.0,1.0,2,11,0,30,0,1.0,0,0,0,1,0
16,1.0,1.0,2,18,0,58,0,1.0,0,1,0,0,0
17,0.0,1.0,2,17,0,1,0,1.0,0,0,0,1,0
18,1.0,1.0,3,11,0,1,9,1.0,1,1,0,0,0
19,1.0,1.0,1,8,0,1,7,1.0,0,0,0,1,0
20,0.0,1.0,1,5,0,30,0,1.0,0,0,0,1,0
21,1.0,1.0,2,15,0,30,0,1.0,1,1,0,0,0
22,0.0,1.0,2,8,0,2,0,1.0,0,0,0,1,0
24,0.0,1.0,2,23,0,30,1,1.0,1,0,0,1,0
25,0.0,1.0,1,52,0,3,8,1.0,0,0,0,1,0
26,1.0,1.0,2,15,0,60,0,1.0,1,1,0,0,0
27,0.0,1.0,2,12,0,31,1,1.0,0,0,0,1,0
28,2.0,1.0,6,6,0,30,0,2.0,1,1,0,0,0
29,1.0,1.0,3,10,0,1,0,1.0,0,1,0,0,0
30,1.0,1.0,1,8,0,30,0,1.0,1,1,0,0,0
31,2.0,3.0,8,13,0,1,0,2.0,0,1,0,0,0
32,0.0,1.0,2,17,0,30,2,1.0,1,0,0,1,0
33,0.0,1.0,2,61,0,1,1,1.0,0,0,0,1,0
35,1.0,2.0,4,24,0,30,0,1.0,0,1,0,0,0
36,2.0,1.0,5,14,0,30,0,1.0,1,1,0,0,0
39,0.0,1.0,1,12,0,30,4,2.0,0,0,0,1,0
40,0.0,1.0,2,21,0,31,0,1.0,0,0,0,1,0
41,1.0,2.0,2,17,1,2,0,1.0,1,0,0,1,0
42,1.0,1.0,3,10,0,30,0,1.0,1,1,0,0,0
43,1.0,1.0,2,18,0,30,0,1.0,1,1,0,0,0
44,1.0,0.0,1,0,0,30,0,0.0,1,0,0,1,0
45,1.0,1.0,2,27,1,30,43,1.0,1,1,0,0,0
46,1.0,1.0,2,43,0,2,29,1.0,1,1,0,0,0
47,1.0,1.0,2,10,0,30,0,1.0,0,1,0,0,0
48,1.0,1.0,2,14,0,30,0,1.0,0,0,0,1,0
49,0.0,1.0,2,13,0,31,2,1.0,0,1,0,0,0
50,2.0,2.0,4,41,0,30,2,2.0,1,1,0,0,0
52,1.0,1.0,4,15,0,30,12,2.0,1,1,0,0,0
53,3.0,2.0,6,8,0,60,0,2.0,1,1,0,0,0
54,0.0,1.0,2,11,1,30,4,1.0,0,1,0,0,0
56,0.0,1.0,2,15,0,30,0,1.0,0,0,0,0,1
